k,x,y,a,
160,38.541607790866955,16.370490477617697,0.007237920776951659,
161,37.61963169948522,16.073290938361687,0.006878418051931859,
162,37.11795714857738,15.98348505704742,0.00688009207826831,
163,36.707659600708794,15.46248409622388,0.00671131294900263,
164,36.07377409798236,15.083093074216904,0.0065197561015071384,
165,35.881479307883744,14.62686672167832,0.006391905132033463,
166,35.74160923674705,14.068691176685958,0.00614263232351733,
167,35.48950007949929,13.513100477077732,0.005886193993991289,
168,35.62060878510718,12.932982900985179,0.005565838067251927,
169,35.718184879640994,12.282157741068973,0.005170290441578665,
170,35.694922818560904,11.346410203565734,0.004789536857014842,
171,35.79045731523206,10.705569480636985,0.004452176114909441,
172,36.0065366437567,10.13184125005693,0.004079247203221868,
173,36.35401532562528,9.598634444138503,0.0036444592024619245,
174,36.76602951434866,8.812503827017965,0.0032847698340881587,
175,36.91383852716687,8.146229648011259,0.0029621059038754285,
176,37.249859053357255,7.509810617945995,0.002583637494408003,
177,37.86360793954397,6.752514709546722,0.002065593060520891,
178,38.338023239948505,6.238794084739946,0.0017946259983497603,
179,38.71484661934077,5.287871234384638,0.0014102831055441206,
180,39.021182469702495,4.744179380625955,0.0010460606084103333,
181,39.512006005446466,4.1182507371488315,0.0007092338441170578,
182,39.95808680872114,3.6070359213851413,0.00022014331839560796,
183,40.35662031384176,3.1036786149048536,-2.7955128233723146e-05,
184,40.78017512771595,2.8116320480573775,-0.0002768693290764003,
185,41.04368449068382,2.0362206155710805,-0.0006192840562874731,
186,41.33566061838762,1.6274122352604117,-0.0007534712540519586,
187,41.730047757136994,1.2441185962384276,-0.0009508570089170731,
188,42.12475780726873,0.6823031386506481,-0.0011201838523021593,
189,42.24532529170837,0.5903164889391281,-0.001438984565259628,
190,42.62473235657905,0.20365282626986814,-0.0016248909808520534,
191,42.68140679031277,-0.23648027119091858,-0.0019216360463296415,
192,43.112789199778646,-0.5420570288818058,-0.0021276517772674595,
193,43.27482399567926,-1.1515545451317406,-0.0025025819095936797,
194,43.30681713276091,-1.5747102325882283,-0.0027814262239618187,
195,43.502505364739164,-1.6057595502915516,-0.003167634272296055,
