k,Xx,Xy,Xa,
131,55.03364944458008,43.65864562988281,0.0012639759806916118,
132,54.90994644165039,43.2391357421875,0.0014054947532713413,
133,54.79072570800781,42.781192779541016,0.001548845088109374,
134,54.676231384277344,42.28364181518555,0.001689093536697328,
135,54.546566009521484,41.75584411621094,0.0018333178013563156,
136,54.42636489868164,41.192474365234375,0.001987242139875889,
137,54.31352615356445,40.603675842285156,0.002138862619176507,
138,54.194679260253906,39.97857666015625,0.0022946475073695183,
139,54.08085250854492,39.34540557861328,0.0024532731622457504,
140,53.95685958862305,38.68351745605469,0.0026165000163018703,
141,53.82025909423828,38.00904083251953,0.0027680916246026754,
142,53.66922378540039,37.31063461303711,0.0029199421405792236,
143,53.51453399658203,36.61546325683594,0.003073480213060975,
144,53.34425735473633,35.922821044921875,0.0032252902165055275,
145,53.15631103515625,35.21255874633789,0.003384418087080121,
146,52.94992446899414,34.52290725708008,0.003545628162100911,
147,52.7246208190918,33.841800689697266,0.0037076501175761223,
148,52.487735748291016,33.159629821777344,0.0038774837739765644,
149,52.23381805419922,32.49245071411133,0.00404092064127326,
150,51.958248138427734,31.842906951904297,0.004196628928184509,
151,51.65766906738281,31.21515655517578,0.004344438202679157,
152,51.342201232910156,30.605113983154297,0.004487489815801382,
153,51.00423812866211,30.01585578918457,0.0046257502399384975,
154,50.646629333496094,29.44154167175293,0.004760206677019596,
155,50.28297805786133,28.89460563659668,0.0048849862068891525,
156,49.88749313354492,28.359050750732422,0.0050008902326226234,
157,49.47652053833008,27.847848892211914,0.005110807251185179,
158,49.05159378051758,27.349672317504883,0.005215352866798639,
159,48.61825942993164,26.87435531616211,0.005304255522787571,
160,48.17715072631836,26.4145450592041,0.005388902500271797,
161,47.71499252319336,25.96185302734375,0.005454106722027063,
162,47.251102447509766,25.52504539489746,0.005516530014574528,
163,46.78955841064453,25.084552764892578,0.005568832159042358,
164,46.32046890258789,24.6467342376709,0.005610459018498659,
165,45.86349868774414,24.208110809326172,0.005644666962325573,
166,45.42041015625,23.764253616333008,0.005666465498507023,
167,44.985679626464844,23.315505981445312,0.0056760841980576515,
168,44.575721740722656,22.861007690429688,0.005671258084475994,
169,44.18798065185547,22.39791488647461,0.0056493282318115234,
170,43.816192626953125,21.91413116455078,0.005611690692603588,
171,43.46486282348633,21.423471450805664,0.00556093268096447,
172,43.138370513916016,20.929176330566406,0.005496071185916662,
173,42.84138107299805,20.433177947998047,0.005415016319602728,
174,42.57543182373047,19.92447853088379,0.005321763921529055,
175,42.32759475708008,19.40888023376465,0.005218469072133303,
176,42.105316162109375,18.88799476623535,0.005103128496557474,
177,41.91963195800781,18.356760025024414,0.0049701593816280365,
178,41.76284408569336,17.826292037963867,0.0048311492428183556,
179,41.629417419433594,17.27741813659668,0.004681399557739496,
180,41.51523971557617,16.728771209716797,0.004522261209785938,
181,41.427547454833984,16.176740646362305,0.004355344455689192,
182,41.36322021484375,15.626497268676758,0.004174324218183756,
183,41.319156646728516,15.078306198120117,0.003990367986261845,
184,41.295562744140625,14.541327476501465,0.003803567960858345,
185,41.28453826904297,13.993911743164062,0.003609956009313464,
186,41.28677749633789,13.452563285827637,0.0034189452417194843,
187,41.306182861328125,12.918133735656738,0.003227655543014407,
