k,Kx,Ky,Ka,Px_,Py_,Pa_,
28,0.037743695080280304,0.037743695080280304,0.037743695080280304,0.3918493390083313,0.3918493390083313,0.3918493390083313,
29,0.03729953244328499,0.03729953244328499,0.03729953244328499,0.3870594799518585,0.3870594799518585,0.3870594799518585,
30,0.03688771277666092,0.03688771277666092,0.03688771277666092,0.3826223313808441,0.3826223313808441,0.3826223313808441,
31,0.0365055650472641,0.0365055650472641,0.0365055650472641,0.3785082697868347,0.3785082697868347,0.3785082697868347,
32,0.03615067899227142,0.03615067899227142,0.03615067899227142,0.37469059228897095,0.37469059228897095,0.37469059228897095,
33,0.03582087159156799,0.03582087159156799,0.03582087159156799,0.37114524841308594,0.37114524841308594,0.37114524841308594,
34,0.03551417589187622,0.03551417589187622,0.03551417589187622,0.36785051226615906,0.36785051226615906,0.36785051226615906,
35,0.03522878885269165,0.03522878885269165,0.03522878885269165,0.3647865951061249,0.3647865951061249,0.3647865951061249,
36,0.034963082522153854,0.034963082522153854,0.034963082522153854,0.3619355857372284,0.3619355857372284,0.3619355857372284,
37,0.03471556678414345,0.03471556678414345,0.03471556678414345,0.35928118228912354,0.35928118228912354,0.35928118228912354,
38,0.03448488563299179,0.03448488563299179,0.03448488563299179,0.35680851340293884,0.35680851340293884,0.35680851340293884,
39,0.0342697910964489,0.0342697910964489,0.0342697910964489,0.3545040190219879,0.3545040190219879,0.3545040190219879,
40,0.03406914696097374,0.03406914696097374,0.03406914696097374,0.3523552119731903,0.3523552119731903,0.3523552119731903,
41,0.03388190269470215,0.03388190269470215,0.03388190269470215,0.3503507673740387,0.3503507673740387,0.3503507673740387,
42,0.03370710089802742,0.03370710089802742,0.03370710089802742,0.3484801948070526,0.3484801948070526,0.3484801948070526,
43,0.03354385867714882,0.03354385867714882,0.03354385867714882,0.3467339277267456,0.3467339277267456,0.3467339277267456,
44,0.033391356468200684,0.033391356468200684,0.033391356468200684,0.34510311484336853,0.34510311484336853,0.34510311484336853,
45,0.03324884921312332,0.03324884921312332,0.03324884921312332,0.34357964992523193,0.34357964992523193,0.34357964992523193,
46,0.03311564400792122,0.03311564400792122,0.03311564400792122,0.3421560227870941,0.3421560227870941,0.3421560227870941,
47,0.03299110010266304,0.03299110010266304,0.03299110010266304,0.34082528948783875,0.34082528948783875,0.34082528948783875,
48,0.03287462145090103,0.03287462145090103,0.03287462145090103,0.33958107233047485,0.33958107233047485,0.33958107233047485,
49,0.03276566416025162,0.03276566416025162,0.03276566416025162,0.3384174704551697,0.3384174704551697,0.3384174704551697,
50,0.03266372159123421,0.03266372159123421,0.03266372159123421,0.3373289704322815,0.3373289704322815,0.3373289704322815,
51,0.0325683169066906,0.0325683169066906,0.0325683169066906,0.3363105356693268,0.3363105356693268,0.3363105356693268,
52,0.03247901797294617,0.03247901797294617,0.03247901797294617,0.3353574573993683,0.3353574573993683,0.3353574573993683,
53,0.032395415008068085,0.032395415008068085,0.032395415008068085,0.334465354681015,0.334465354681015,0.334465354681015,
54,0.0323171392083168,0.0323171392083168,0.0323171392083168,0.33363020420074463,0.33363020420074463,0.33363020420074463,
55,0.03224383667111397,0.03224383667111397,0.03224383667111397,0.3328482210636139,0.3328482210636139,0.3328482210636139,
56,0.032175179570913315,0.032175179570913315,0.032175179570913315,0.33211591839790344,0.33211591839790344,0.33211591839790344,
57,0.03211086243391037,0.03211086243391037,0.03211086243391037,0.33143001794815063,0.33143001794815063,0.33143001794815063,
58,0.03205060958862305,0.03205060958862305,0.03205060958862305,0.3307875096797943,0.3307875096797943,0.3307875096797943,
